,Parcel ID,Lat,Lng,Property address,Tax rate area,Neighborhood,Lot sq. ft.,Property class,Year built,Square feet,Rooms,Bedrooms,Bathrooms,ZIP code,Median Price(2017),Median $ per Sq. Ft.(2017),Transaction year,Transaction price
16863,491-34-072,37.3217517,-121.8314745,"1578 Tolbert Dr San Jose, CA 95122",17170,12,5995,0,1978,1007,5,3,2.0,95122,570000,447,2011,193733
16864,491-37-077,37.3252984,-121.8050888,"2687 Sand Point Dr San Jose, CA 95148",17028,16,7560,0,1983,1200,7,3,2.0,95148,800000,475,1994,54429
16865,491-37-081,37.3259332,-121.8047971,"2506 Sedlak CT San Jose, CA 95148",17028,16,8640,0,1984,1388,7,4,2.0,95148,800000,475,2003,70497
16866,491-37-082,37.3259901,-121.8046059,"2518 Sedlak CT San Jose, CA 95148",17028,16,9088,0,1984,1388,7,4,2.0,95148,800000,475,2014,263638
16867,491-37-085,37.3264309,-121.8047747,"2517 Sedlak CT San Jose, CA 95148",17028,16,8964,0,1984,1388,7,4,2.0,95148,800000,475,2017,375765
16868,491-37-086,37.3263953,-121.8049475,"2505 Sedlak CT San Jose, CA 95148",17028,16,8160,0,1984,1388,7,4,2.0,95148,800000,475,2004,294491
16869,491-37-088,37.3267107,-121.8048668,"2512 Britt WY San Jose, CA 95148",17028,16,6262,0,1984,1726,7,3,2.5,95148,800000,475,2003,269509
16870,491-37-090,37.3268233,-121.8043808,"2651 Hesselbein WY San Jose, CA 95148",17028,16,7272,0,1984,1388,7,4,2.0,95148,800000,475,2005,450389
16871,491-37-075,37.3256195,-121.8051825,"2679 Sand Point Dr San Jose, CA 95148",17028,16,6200,0,1983,1200,7,3,2.0,95148,800000,475,1992,90696
16872,491-37-099,37.3271253,-121.8048927,"2515 Britt WY San Jose, CA 95148",17028,16,6000,0,1984,1429,6,3,2.5,95148,800000,475,2014,71388
16873,491-37-100,37.3270843,-121.8051529,"2507 Britt WY San Jose, CA 95148",17028,16,6000,0,1984,1429,6,3,2.5,95148,800000,475,2016,484200
16874,491-37-101,37.3270512,-121.8053067,"2497 Britt WY San Jose, CA 95148",17028,16,6000,0,1984,1278,6,3,2.0,95148,800000,475,2013,394717
16875,491-37-103,37.3269514,-121.8057225,"2479 Britt WY San Jose, CA 95148",17028,16,6000,0,1981,2105,10,4,2.5,95148,800000,475,1993,81925
16876,491-37-106,37.3245676,-121.8070689,"2530 Quimby Rd San Jose, CA 95148",17028,16,42480,0,1949,1328,6,2,1.0,95148,800000,475,1982,121986
