,Parcel ID,Lat,Lng,Property address,Tax rate area,Neighborhood,Lot sq. ft.,Property class,Year built,Square feet,Rooms,Bedrooms,Bathrooms,ZIP code,Median Price(2017),Median $ per Sq. Ft.(2017),Value at Median $ per Sq. Ft.(2017)
12230,462-55-045,37.2653423,-121.8534316,"4566 Birkenshaw Pl San Jose, CA 95136",17108,8,13839,0,1976,1330,5.0,3.0,2.0,95136,860000,482,513866.4
12231,462-56-007,37.2663818,-121.8531273,"4525 Thistle Dr San Jose, CA 95136",17108,8,6600,0,1976,1640,7.0,4.0,2.0,95136,860000,482,633639.2
12232,462-56-008,37.2662594,-121.8529254,"4584 Jonquil Dr San Jose, CA 95136",17108,8,7700,0,1976,1954,7.0,5.0,2.5,95136,860000,482,754958.4
12233,462-56-009,37.2662881,-121.8526857,"4576 Jonquil Dr San Jose, CA 95136",17108,8,9000,0,1976,1330,5.0,3.0,2.0,95136,860000,482,513866.4
12234,462-56-010,37.2663736,-121.8525436,"4568 Jonquil Dr San Jose, CA 95136",17108,8,9000,0,1976,1640,7.0,4.0,2.0,95136,860000,482,633639.2
12235,462-56-011,37.2664716,-121.8523895,"4554 Jonquil Dr San Jose, CA 95136",17108,8,7800,0,1976,1640,7.0,4.0,2.0,95136,860000,482,633639.2
12236,462-56-013,37.2662362,-121.8538676,"567 Branham Ln San Jose, CA 95136",17108,8,8250,0,1976,1640,7.0,4.0,2.0,95136,860000,482,633639.2
12237,462-56-017,37.2667071,-121.854229,"4514 Crocus Dr San Jose, CA 95136",17108,8,6600,0,1976,1490,6.0,4.0,2.0,95136,860000,482,575684.8
12238,462-56-018,37.266878,-121.8543718,"4506 Crocus Dr San Jose, CA 95136",17108,8,6500,0,1976,1330,5.0,3.0,2.0,95136,860000,482,513866.4
12239,462-56-021,37.2672625,-121.8547622,"4482 Crocus Dr San Jose, CA 95136",17108,8,6000,0,1976,1954,7.0,5.0,2.5,95136,860000,482,754958.4
12240,462-56-022,37.267409,-121.8548572,"4474 Crocus Dr San Jose, CA 95136",17108,8,6000,0,1976,1330,5.0,3.0,2.0,95136,860000,482,513866.4
12241,462-56-025,37.2673387,-121.8554695,"4459 Crocus Dr San Jose, CA 95136",17108,8,6000,0,1976,1640,7.0,4.0,2.0,95136,860000,482,633639.2
12242,462-56-026,37.2672379,-121.8553631,"4467 Crocus Dr San Jose, CA 95136",17108,8,6000,0,1976,1640,7.0,4.0,2.0,95136,860000,482,633639.2
12243,462-56-027,37.2670995,-121.8552243,"4475 Crocus Dr San Jose, CA 95136",17108,8,6000,0,1976,1640,7.0,4.0,2.0,95136,860000,482,633639.2
12244,462-56-028,37.2669739,-121.8551122,"4483 Crocus Dr San Jose, CA 95136",17108,8,6300,0,1976,1640,7.0,4.0,2.0,95136,860000,482,633639.2
